receipt_id,file_path,merchant_name_truth,total_amount_truth,currency_truth,date_truth,category_truth,line_items_truth,language,image_quality,dataset_split,updated_at
rcp_7b322177,media/receipts/rcp_7b322177.jpg,Blue Pottery Studio,1750.00,INR,2026-03-11,transport,"[{""label"": ""Fare"", ""amount"": ""551.78""}, {""label"": ""Service"", ""amount"": ""1198.22""}]",hi,low_light,eval,2026-08-18T10:00:00+05:30
rcp_4afb38bc,media/receipts/rcp_4afb38bc.jpg,Airport Duty Free,426.00,LKR,2026-04-23,food,"[{""label"": ""Item"", ""amount"": ""157.68""}, {""label"": ""Service"", ""amount"": ""268.32""}]",hi,clean,train,2026-08-18T10:00:00+05:30
rcp_0c4d667e,media/receipts/rcp_0c4d667e.jpg,Chai Point,950.00,INR,2026-07-03,activities,"[{""label"": ""Item"", ""amount"": ""250.66""}, {""label"": ""Item"", ""amount"": ""193.65""}, {""label"": ""Ticket"", ""amount"": ""205.67""}, {""label"": ""Fare"", ""amount"": ""300.02""}]",ta,clean,train,2026-08-18T10:00:00+05:30
rcp_8cbc63b1,media/receipts/rcp_8cbc63b1.jpg,Sea Breeze Cafe,480.00,INR,2026-03-02,shopping,"[{""label"": ""Fare"", ""amount"": ""192.83""}, {""label"": ""Service"", ""amount"": ""287.17""}]",ta,skewed,train,2026-08-18T10:00:00+05:30
rcp_277f0970,media/receipts/rcp_277f0970.jpg,Spice Bazaar Stall 14,1750.00,INR,2026-06-30,fees,"[{""label"": ""Service"", ""amount"": ""1303.99""}, {""label"": ""Item"", ""amount"": ""446.01""}]",en-IN,clean,eval,2026-08-18T10:00:00+05:30
rcp_9a24e718,media/receipts/rcp_9a24e718.jpg,City Taxi Co-op,120.00,INR,2026-02-18,misc,"[{""label"": ""Ticket"", ""amount"": ""76.51""}, {""label"": ""Tax"", ""amount"": ""43.49""}]",bn,skewed,train,2026-08-18T10:00:00+05:30
rcp_799a717f,media/receipts/rcp_799a717f.jpg,Coastal Ferry Service,202.08,THB,2026-07-05,transport,"[{""label"": ""Ticket"", ""amount"": ""39.32""}, {""label"": ""Service"", ""amount"": ""66.97""}, {""label"": ""Fare"", ""amount"": ""95.79""}]",en-IN,clean,train,2026-08-18T10:00:00+05:30
rcp_fb666326,media/receipts/rcp_fb666326.jpg,Green Leaf Restaurant,6400.00,INR,2026-05-23,activities,"[{""label"": ""Item"", ""amount"": ""2548.74""}, {""label"": ""Item"", ""amount"": ""1370.59""}, {""label"": ""Fare"", ""amount"": ""2480.67""}]",en-IN,clean,train,2026-08-18T10:00:00+05:30
rcp_e9e2f2b2,media/receipts/rcp_e9e2f2b2.jpg,City Taxi Co-op,260.00,INR,2026-03-28,accommodation,"[{""label"": ""Fare"", ""amount"": ""85.64""}, {""label"": ""Service"", ""amount"": ""74.98""}, {""label"": ""Tip"", ""amount"": ""45.12""}, {""label"": ""Tip"", ""amount"": ""54.26""}]",en-IN,low_light,eval,2026-08-18T10:00:00+05:30
rcp_14c46bdc,media/receipts/rcp_14c46bdc.jpg,Spice Bazaar Stall 14,1750.00,INR,2026-07-06,transport,"[{""label"": ""Item"", ""amount"": ""760.89""}, {""label"": ""Tip"", ""amount"": ""989.11""}]",ml,clean,train,2026-08-18T10:00:00+05:30
rcp_86478b41,media/receipts/rcp_86478b41.jpg,Airport Duty Free,480.00,INR,2026-07-06,misc,"[{""label"": ""Service"", ""amount"": ""480.00""}]",en-IN,clean,train,2026-08-18T10:00:00+05:30
rcp_024efabc,media/receipts/rcp_024efabc.jpg,City Taxi Co-op,480.00,INR,2026-02-24,fees,"[{""label"": ""Tip"", ""amount"": ""240.63""}, {""label"": ""Fare"", ""amount"": ""239.37""}]",ta,clean,train,2026-08-18T10:00:00+05:30
rcp_462dce3d,media/receipts/rcp_462dce3d.jpg,City Taxi Co-op,15.30,SGD,2026-02-04,accommodation,"[{""label"": ""Tax"", ""amount"": ""6.10""}, {""label"": ""Item"", ""amount"": ""4.03""}, {""label"": ""Item"", ""amount"": ""5.17""}]",en-IN,clean,eval,2026-08-18T10:00:00+05:30
rcp_da84d327,media/receipts/rcp_da84d327.jpg,Sea Breeze Cafe,480.00,INR,2026-05-27,accommodation,"[{""label"": ""Tax"", ""amount"": ""106.99""}, {""label"": ""Item"", ""amount"": ""265.71""}, {""label"": ""Ticket"", ""amount"": ""107.30""}]",ta,skewed,train,2026-08-18T10:00:00+05:30
rcp_5f30e083,media/receipts/rcp_5f30e083.jpg,Heritage Museum Tickets,120.00,INR,2026-02-01,shopping,"[{""label"": ""Tax"", ""amount"": ""58.02""}, {""label"": ""Service"", ""amount"": ""61.98""}]",ta,clean,train,2026-08-18T10:00:00+05:30
rcp_b5e4758d,media/receipts/rcp_b5e4758d.jpg,Anand Bhavan,480.00,INR,2026-08-07,accommodation,"[{""label"": ""Ticket"", ""amount"": ""180.38""}, {""label"": ""Service"", ""amount"": ""299.62""}]",bn,clean,train,2026-08-18T10:00:00+05:30
rcp_44e5f6bc,media/receipts/rcp_44e5f6bc.jpg,Metro Auto Stand,6400.00,INR,2026-07-08,accommodation,"[{""label"": ""Tax"", ""amount"": ""6400.00""}]",ml,clean,eval,2026-08-18T10:00:00+05:30
rcp_9df07401,media/receipts/rcp_9df07401.jpg,Green Leaf Restaurant,6400.00,INR,2026-06-09,activities,"[{""label"": ""Fare"", ""amount"": ""1799.08""}, {""label"": ""Tax"", ""amount"": ""2179.45""}, {""label"": ""Tax"", ""amount"": ""2421.47""}]",ml,clean,train,2026-08-18T10:00:00+05:30
rcp_d66c3c2f,media/receipts/rcp_d66c3c2f.jpg,Airport Duty Free,6400.00,INR,2026-05-25,misc,"[{""label"": ""Tip"", ""amount"": ""6400.00""}]",ml,clean,train,2026-08-18T10:00:00+05:30
