budget_id,trip_id,total_amount,currency,accommodation_cap,transport_cap,food_cap,activities_cap,misc_cap,alert_threshold_pct,created_at,updated_at
bud_43e3c8a8,trp_dba33c33,30000.00,INR,10800.00,5400.00,5400.00,4050.00,1350.00,85,2026-06-21T10:00:00+05:30,2026-08-18T10:00:00+05:30
bud_f9687a21,trp_c183d169,45000.00,INR,16200.00,8100.00,8100.00,6075.00,2025.00,90,2026-05-29T10:00:00+05:30,2026-08-18T10:00:00+05:30
bud_52b00549,trp_5c81e163,45500.00,INR,16380.00,8190.00,8190.00,6142.50,2047.50,80,2026-06-12T10:00:00+05:30,2026-08-18T10:00:00+05:30
bud_5e9748fd,trp_13423f49,213000.00,LKR,76680.00,38340.00,38340.00,28755.00,9585.00,80,2026-02-16T10:00:00+05:30,2026-08-18T10:00:00+05:30
bud_c86113cb,trp_d0565c09,100000.00,INR,36000.00,18000.00,18000.00,13500.00,4500.00,90,2026-05-03T10:00:00+05:30,2026-08-18T10:00:00+05:30
bud_c125fe93,trp_929cc01b,40000.00,INR,14400.00,7200.00,7200.00,5400.00,1800.00,80,2026-08-02T10:00:00+05:30,2026-08-18T10:00:00+05:30
bud_df125949,trp_5843b90d,56000.00,INR,20160.00,10080.00,10080.00,7560.00,2520.00,85,2026-06-06T10:00:00+05:30,2026-08-18T10:00:00+05:30
bud_dc1b72e5,trp_3901f712,20000.00,INR,7200.00,3600.00,3600.00,2700.00,900.00,80,2026-04-10T10:00:00+05:30,2026-08-18T10:00:00+05:30
bud_ea5713a3,trp_e842e287,16000.00,INR,5760.00,2880.00,2880.00,2160.00,720.00,85,2026-07-06T10:00:00+05:30,2026-08-18T10:00:00+05:30
bud_d8965770,trp_ebd8ca83,24000.00,INR,8640.00,4320.00,4320.00,3240.00,1080.00,90,2026-04-24T10:00:00+05:30,2026-08-18T10:00:00+05:30
bud_eaf561e3,trp_31e8bc24,45500.00,INR,16380.00,8190.00,8190.00,6142.50,2047.50,75,2026-04-14T10:00:00+05:30,2026-08-18T10:00:00+05:30
bud_fdcd2a10,trp_9656ff69,62500.00,INR,22500.00,11250.00,11250.00,8437.50,2812.50,90,2026-06-28T10:00:00+05:30,2026-08-18T10:00:00+05:30
bud_6494879c,trp_358447d8,26000.00,INR,9360.00,4680.00,4680.00,3510.00,1170.00,85,2026-02-12T10:00:00+05:30,2026-08-18T10:00:00+05:30
