split_id,expense_id,user_id,split_type,share_value,amount,currency,settlement_status,settled_at,updated_at
spl_baa5b74e,exp_ffbdcf1f,usr_8180c222,equal,1,295.42,NPR,settled,2026-08-02T10:00:00+05:30,2026-08-18T10:00:00+05:30
spl_bb81e506,exp_ffbdcf1f,usr_3d1b88d6,equal,1,295.42,NPR,outstanding,,2026-08-18T10:00:00+05:30
spl_da91373e,exp_ffbdcf1f,usr_d8ec0000,equal,1,295.43,NPR,outstanding,,2026-08-18T10:00:00+05:30
spl_b2a6f19d,exp_ffbdcf1f,usr_ea479c41,equal,1,295.43,NPR,outstanding,,2026-08-18T10:00:00+05:30
spl_8b6e1b46,exp_525acb1f,usr_bc4b67f6,equal,1,1280.02,INR,outstanding,,2026-08-18T10:00:00+05:30
spl_9f405e81,exp_525acb1f,usr_2fda18fd,equal,1,1280.03,INR,outstanding,,2026-08-18T10:00:00+05:30
spl_628add2e,exp_525acb1f,usr_580a5fe8,equal,1,1280.03,INR,written_off,,2026-08-18T10:00:00+05:30
spl_36a130e4,exp_76ef05be,usr_949a215d,equal,1,276.38,INR,settled,2026-08-14T10:00:00+05:30,2026-08-18T10:00:00+05:30
spl_d38cd1c5,exp_76ef05be,usr_72dfb712,equal,1,276.39,INR,outstanding,,2026-08-18T10:00:00+05:30
spl_32dc9c12,exp_76ef05be,usr_ce9ee3ae,equal,1,276.39,INR,outstanding,,2026-08-18T10:00:00+05:30
spl_c27518ab,exp_745c6ebe,usr_3e25dcc6,percentage,1.1006,1061.45,INR,outstanding,,2026-08-18T10:00:00+05:30
spl_fd666d58,exp_d50a7c63,usr_f60ade8b,equal,1,3653.95,INR,outstanding,,2026-08-18T10:00:00+05:30
spl_8246b175,exp_08508d24,usr_fedbd227,equal,1,1173.10,INR,outstanding,,2026-08-18T10:00:00+05:30
spl_20e6e7b5,exp_7bd4b6ef,usr_b50df034,shares,1.0162,2068.11,INR,outstanding,,2026-08-18T10:00:00+05:30
spl_3e43e5e0,exp_c53e3822,usr_34f98272,equal,1,626.72,INR,written_off,,2026-08-18T10:00:00+05:30
spl_85aef730,exp_9b159f33,usr_8e272905,equal,1,381.50,INR,outstanding,,2026-08-18T10:00:00+05:30
spl_12641fff,exp_9b159f33,usr_df77fb8e,equal,1,381.50,INR,outstanding,,2026-08-18T10:00:00+05:30
spl_0ded3d21,exp_9b159f33,usr_6c3fae7b,equal,1,381.50,INR,outstanding,,2026-08-18T10:00:00+05:30
spl_198b8f4d,exp_2d3a5b6c,usr_7f9533ad,equal,1,3666.80,INR,outstanding,,2026-08-18T10:00:00+05:30
spl_d38c9205,exp_2d3a5b6c,usr_79248234,equal,1,3666.80,INR,settled,2026-07-26T10:00:00+05:30,2026-08-18T10:00:00+05:30
spl_852d382e,exp_51355d99,usr_544eff67,equal,1,4841.05,INR,settled,2026-07-01T10:00:00+05:30,2026-08-18T10:00:00+05:30
spl_7355e228,exp_51355d99,usr_ba8453d8,equal,1,4841.06,INR,settled,2026-07-02T10:00:00+05:30,2026-08-18T10:00:00+05:30
spl_f0f78e6c,exp_f829d39c,usr_0deee6d9,equal,1,3.16,CHF,outstanding,,2026-08-18T10:00:00+05:30
spl_112697df,exp_f829d39c,usr_7f26d855,equal,1,3.16,CHF,settled,2026-08-17T10:00:00+05:30,2026-08-18T10:00:00+05:30
spl_1f2cfd6c,exp_f829d39c,usr_0f63f4f1,equal,1,3.17,CHF,settled,2026-08-15T10:00:00+05:30,2026-08-18T10:00:00+05:30
spl_4e3ba005,exp_f829d39c,usr_7d446287,equal,1,3.17,CHF,settled,2026-06-24T10:00:00+05:30,2026-08-18T10:00:00+05:30
spl_63a87954,exp_0e463941,usr_949a215d,custom,2.3699,2055.45,INR,settled,2026-06-24T10:00:00+05:30,2026-08-18T10:00:00+05:30
spl_839bf2da,exp_0e463941,usr_72dfb712,custom,2.1097,1829.80,INR,outstanding,,2026-08-18T10:00:00+05:30
spl_d04a5aa2,exp_0e463941,usr_ce9ee3ae,custom,2.4597,2133.42,INR,settled,2026-06-27T10:00:00+05:30,2026-08-18T10:00:00+05:30
spl_3116c86f,exp_25b92fe5,usr_b5327682,equal,1,571.81,INR,settled,2026-08-09T10:00:00+05:30,2026-08-18T10:00:00+05:30
spl_799f69c6,exp_25b92fe5,usr_bc9d20fa,equal,1,571.81,INR,settled,2026-07-19T10:00:00+05:30,2026-08-18T10:00:00+05:30
spl_a638655e,exp_25b92fe5,usr_0f11ccce,equal,1,571.81,INR,settled,2026-08-16T10:00:00+05:30,2026-08-18T10:00:00+05:30
spl_96301bdf,exp_25b92fe5,usr_d3cf0a5d,equal,1,571.81,INR,outstanding,,2026-08-18T10:00:00+05:30
spl_f9fc7421,exp_8ce2d6b7,usr_b2323a23,custom,2.2803,104.44,MYR,written_off,,2026-08-18T10:00:00+05:30
spl_bd583167,exp_e24be9cf,usr_c61e810b,percentage,0.9969,667.94,INR,outstanding,,2026-08-18T10:00:00+05:30
spl_8056081b,exp_e24be9cf,usr_b0226153,percentage,0.797,534.00,INR,outstanding,,2026-08-18T10:00:00+05:30
spl_a7516325,exp_e24be9cf,usr_db37359e,percentage,1.7968,1203.94,INR,outstanding,,2026-08-18T10:00:00+05:30
spl_9f1a50e8,exp_722b2887,usr_aacb82b1,equal,1,15.97,QAR,settled,2026-07-13T10:00:00+05:30,2026-08-18T10:00:00+05:30
spl_0c831d2b,exp_722b2887,usr_9ae9cbcb,equal,1,15.97,QAR,settled,2026-06-28T10:00:00+05:30,2026-08-18T10:00:00+05:30
spl_14f5594a,exp_640d6f3f,usr_21b63d3b,equal,1,18.40,AED,outstanding,,2026-08-18T10:00:00+05:30
spl_8b40fec7,exp_640d6f3f,usr_5307f01f,equal,1,18.41,AED,outstanding,,2026-08-18T10:00:00+05:30
spl_7d3c1524,exp_640d6f3f,usr_2182a4d3,equal,1,18.41,AED,outstanding,,2026-08-18T10:00:00+05:30
spl_1d062121,exp_640d6f3f,usr_7b03ee88,equal,1,18.41,AED,outstanding,,2026-08-18T10:00:00+05:30
spl_0628549d,exp_6f3d7472,usr_d1c73fb8,equal,1,330.23,INR,settled,2026-07-23T10:00:00+05:30,2026-08-18T10:00:00+05:30
spl_dbdea003,exp_6f3d7472,usr_87b11a4d,equal,1,330.23,INR,settled,2026-07-01T10:00:00+05:30,2026-08-18T10:00:00+05:30
spl_9eb5ef45,exp_6f3d7472,usr_ee57ec9a,equal,1,330.23,INR,outstanding,,2026-08-18T10:00:00+05:30
spl_6423019e,exp_240f1e62,usr_fedbd227,equal,1,1396.49,INR,settled,2026-07-20T10:00:00+05:30,2026-08-18T10:00:00+05:30
spl_79d3c2f0,exp_d4d386b1,usr_5b31e64c,custom,2.1241,1437.15,INR,outstanding,,2026-08-18T10:00:00+05:30
spl_8a5f23e8,exp_55221027,usr_fa7951d2,custom,0.8553,256.70,INR,outstanding,,2026-08-18T10:00:00+05:30
spl_3baa8cee,exp_55221027,usr_ea479c41,custom,1.9577,587.59,INR,outstanding,,2026-08-18T10:00:00+05:30
spl_6f9d8437,exp_55221027,usr_2fcc58dc,custom,0.963,289.03,INR,settled,2026-07-18T10:00:00+05:30,2026-08-18T10:00:00+05:30
spl_19f63587,exp_507ed558,usr_c659e4bf,equal,1,75.08,QAR,outstanding,,2026-08-18T10:00:00+05:30
spl_d5f3da35,exp_f100517c,usr_6be041f5,custom,0.7857,2420.83,INR,outstanding,,2026-08-18T10:00:00+05:30
spl_b167a156,exp_8c99086f,usr_64eaee79,equal,1,424.59,INR,settled,2026-07-18T10:00:00+05:30,2026-08-18T10:00:00+05:30
spl_8e8e5be8,exp_8c99086f,usr_54e0dc44,equal,1,424.59,INR,outstanding,,2026-08-18T10:00:00+05:30
spl_1b02383a,exp_8c99086f,usr_9c3deed5,equal,1,424.60,INR,settled,2026-07-17T10:00:00+05:30,2026-08-18T10:00:00+05:30
spl_22f23432,exp_8c99086f,usr_525b1d3c,equal,1,424.60,INR,outstanding,,2026-08-18T10:00:00+05:30
spl_9c9d3be9,exp_c12b8438,usr_8add6423,shares,1.0864,369.87,INR,outstanding,,2026-08-18T10:00:00+05:30
spl_c0a90d72,exp_c12b8438,usr_2808d36a,shares,0.8671,295.21,INR,settled,2026-08-14T10:00:00+05:30,2026-08-18T10:00:00+05:30
spl_1824de1a,exp_c12b8438,usr_d504f21d,shares,2.1575,734.48,INR,settled,2026-08-16T10:00:00+05:30,2026-08-18T10:00:00+05:30
spl_945baa02,exp_c12b8438,usr_6bf6f0c2,shares,1.436,488.89,INR,settled,2026-07-24T10:00:00+05:30,2026-08-18T10:00:00+05:30
spl_8d95d679,exp_451575f3,usr_ddfa0cd0,custom,2.3599,210.65,AED,outstanding,,2026-08-18T10:00:00+05:30
spl_9c6a8c54,exp_430f3f3b,usr_3093604a,shares,2.4297,553.15,INR,settled,2026-07-22T10:00:00+05:30,2026-08-18T10:00:00+05:30
spl_bd51d675,exp_430f3f3b,usr_3c3ae758,shares,1.2056,274.46,INR,outstanding,,2026-08-18T10:00:00+05:30
spl_e037f19f,exp_722a5c22,usr_bedf358a,equal,1,89.77,AED,settled,2026-06-20T10:00:00+05:30,2026-08-18T10:00:00+05:30
spl_fb09024f,exp_722a5c22,usr_e6dcafe4,equal,1,89.76,AED,outstanding,,2026-08-18T10:00:00+05:30
spl_be02c88b,exp_722a5c22,usr_712600f0,equal,1,89.76,AED,outstanding,,2026-08-18T10:00:00+05:30
spl_d712a933,exp_3f99f141,usr_8a0aaa50,equal,1,555.52,LKR,outstanding,,2026-08-18T10:00:00+05:30
spl_a28ed372,exp_3f99f141,usr_cb3be250,equal,1,555.51,LKR,outstanding,,2026-08-18T10:00:00+05:30
